accession name	SRR	SAM	SRX	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode 	Fruit development	Plant growth	Chilling requirements
																				length (cm)	period (days)	 period (days)	 (hours)
Okitsu	SRR830521	SAMN02048736	SRX268331	P. persica (L.) Batsch.	Japan	Nectarine	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	13,5	-	113,7	Reniform	Common	2,34	121	252	850
Okubo	SRR830524	SAMN02048739	SRX268334	P. persica (L.) Batsch.	Japan	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	11,8	-	159	Reniform	Common	2,09	112	261	900
Oro A	SRR502986	SAMN01000703	SRX150239	P. persica (L.) Batsch.	Diamante op.	Peach	Round	Yellow	Semi-Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Phillips	SRR1994380	SAMN03566840	SRX1007921	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Clingstone	Non-melting	-	Single	Non-showy	12,9	12,5	135	116,5	-	-	-	-	-	-
Ping Bei Zi	SRR830568	SAMN02048783	SRX268378	P. persica (L.) Batsch.	Jiangsu, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,5	-	91,1	Reniform	Common	2,6	88	258	800
Ping Ding You Pan Tao	SRR1994384	SAMN03566844	SRX1007925	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Freestone	Melting	-	Single	Showy	10	-	82	78,9	-	-	-	-	-	-
Qing Si Tao	SRR830573	SAMN02048788	SRX268383	P. persica (L.) Batsch.	Yunnan, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	12	-	125,65	Reniform	Common	2,08	152	275	700
Qing Tao	SRR830536	SAMN02048751	SRX268346	P. persica (L.) Batsch.	Guizhou, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	11,9	-	160	Reniform	Common	0,9	127	257	650
Qing Zhou Bai Pi Mi Tao	SRR830504	SAMN02048719	SRX268314	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	14,5	-	45,5	Reniform	Common	2,13	175	254	1100
Quetta	SRR502987	SAMN01000704	SRX150241	P. persica (L.) Batsch.	India	Nectarine	Round	White	Clingstone	Melting	-	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
	SRR502989		SRX150243	P. persica (L.) Batsch.																			
Redhaven	SRR1994379	SAMN03566839	SRX1007920	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Freestone	Melting	-	-	Non-showy	10	9	124,1	130	-	-	-	-	-	-
Rou Pan Tao	SRR830533	SAMN02048748	SRX268343	P. persica (L.) Batsch.	Gansu, China	Peach	Flat	White	Clingstone	Non-melting	Acid	Single	Showy	-	12	-	82,1	Reniform	Common	2,28	144	266	750
Rui Guang 2	SRR830545	SAMN02048760	SRX268355	P. persica (L.) Batsch.	Beijing, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Non-showy	-	12,8	-	119,95	Reniform	Common	2,645	91	256	800
Rui Guang 3	SRR1994374	SAMN03566834	SRX1007915	P. persica (L.) Batsch.	Improved variety from crosses, Beijing, China	Nectarine	Round	White	Freestone	Melting	-	-	Non-showy	12	7	123,8	144,5	-	-	-	-	-	-
Sa Hong Long Zhu Tao	SRR830556	SAMN02048771	SRX268366	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	11	-	40	Reniform	Broomy	-	155	-	1000
Sa Hong Tao	SRR830555	SAMN02048770	SRX268365	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	11	-	30	Reniform	Common	2,11	164	246	1200
Sa Hua Hong Pan Tao	SRR830497	SAMN02048712	SRX268307	P. persica (L.) Batsch.	Shanghai, China	Peach	Flat	White	Freestone	Melting	Sub-acid	Single	Showy	-	10,7	-	132	Reniform	Common	2,63	118	258	800
Sahua Hong Pantao	SRR502990	SAMN01000705	SRX150245	P. persica (L.) Batsch.	China	Peach	Flat	White	Clingstone	-	-	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
	SRR502991		SRX150247																				
Shan Dong Si Yue Ban	SRR830571	SAMN02048786	SRX268381	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10,3	-	51,9	Reniform	Common	2,23	80	254	850
Shang Hai Shui Mi	SRR830523	SAMN02048738	SRX268333	P. persica (L.) Batsch.	Shanghai, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	11,8	-	172,15	Reniform	Common	2,21	137	259	800
Shen Zhou Mitao	SRR502992	SAMN01000706	SRX150249	P. persica (L.) Batsch.	China	Peach	Round	White	Clingstone	-	-	-	Non-showy	-	-	-	-	Globose	-	-	-	-	-
	SRR502993		SRX150251																				
Shen Zhou Shui Mi	SRR830529	SAMN02048744	SRX268339	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	13,3	-	224,5	Reniform	Common	2,05	129	254	1150
Shi Tou Tao	SRR830542	SAMN02048757	SRX268352	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	136	Reniform	Common	2,18	126	239	850
Shi Wo Shui Mi	SRR830525	SAMN02048740	SRX268335	P. persica (L.) Batsch.	Beijing, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	131	Reniform	Common	2,5	124	246	850
Shou Bai	SRR830559	SAMN02048774	SRX268369	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	9	-	29	Reniform	Dwarf	0,48	144	272	1000
Shu Guang	SRR3237761	SAMN04492169	SRX1641977	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	112,8	Reniform	Common	2,69	76	266	650
Shu Guang Hong Xian Ya Bian	SRR1994388	SAMN03566848	SRX1007929	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Nectarine	Round	Yellow	-	Melting	-	-	Showy	13,5	-	-	102	-	-				
Shuang Xi Hong	SRR830550	SAMN02048765	SRX268360	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Non-showy	-	13	-	125	Reniform	Common	2,72	94	267	650
Suan Tao	SRR830551	SAMN02048766	SRX268361	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	15,2	-	192,5	Reniform	Common	1,98	147	256	900
Sunred	SRR3237759	SAMN04492167	SRX1641975	P. persica (L.) Batsch.	Panamint x Fla.R9T10	Nectarine	Round	Yellow	Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-			
Tian Jin Shui Mi	SRR830527	SAMN02048742	SRX268337	P. persica (L.) Batsch.	Tianjin, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	10,7	-	100,3	Reniform	Common	2,1	103	261	950
Venus	SRR1867740	SAMN03393052	SRX906265	P. persica (L.) Batsch.	Stark Redgold x Flamekist	Nectarine	Round	Yellow	Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
	SRR1867794																						
	SRR1867795																						
	SRR1867806																						
Wu Han 2	SRR1994375	SAMN03566835	SRX1007916	P. persica (L.) Batsch.	Anhui, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	14	-	67,5	Reniform	Common	2,24	148	261	850
Wu Hei Ji Rou Tao	SRR830540	SAMN02048755	SRX268350	P. persica (L.) Batsch.	Beijing, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	14,3	-	111,6	Reniform	Common	2,16	87	236	1050
Wu Yue Xian	SRR830526	SAMN02048741	SRX268336	P. persica (L.) Batsch.	Beijing, China	Peach	Flat	White	Freestone	Non-melting	Sub-acid	Single	Showy	-	12,9	-	81,5	Reniform	Common	1,89	87	258	850
Wu Yue Xian Bian Gan	SRR830532	SAMN02048747	SRX268342	P. persica (L.) Batsch.	Improved variety from crosses, Shaanxi, China	Peach	Round	White	Freestone	Melting	-	-	Showy	12,6	11	96	90	-	-	-	-		
Xia Miao 1	SRR830534	SAMN02048749	SRX268344	P. persica (L.) Batsch.	Shanxi, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	7,7	-	161,9	Reniform	Common	2,6	104	269	700
Xian Tao	SRR830576	SAMN02048791	SRX268386	P. persica (L.) Batsch.	Guangxi, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	129	Reniform	Common	1,65	159	245	450
Yan Hong	SRR830552	SAMN02048767	SRX268362	P. persica (L.) Batsch.	Beijing, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	14	-	172	Reniform	Common	2,37	138	269	900
Yang Zhou 3	SRR1994371	SAMN03566831	SRX1007912	P. persica (L.) Batsch.	Improved variety from crosses, Jiangsu, China	Peach	Round	White	Freestone	Melting	-	-	Showy	12,6	10	150	80	-	-	-	-		
Ying Ge Tao	SRR830549	SAMN02048764	SRX268359	P. persica (L.) Batsch.	Taiwan, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	68	Reniform	Common	2,96	110	280	200
Yu Bai	SRR830528	SAMN02048743	SRX268338	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Non-melting	Sub-acid	Single	Showy	-	11	-	101,7	Reniform	Common	2,03	103	260	900
Yuan Yang Chui Zhi	SRR830562	SAMN02048777	SRX268372	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	10	-	18	Reniform	Willow	1,9	139	268	1150
